Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,ALB,"PPG, multilateral concessional (AMT, current US$)",DT.AMT.MLTC.CD,8630262.2,9601263.1,10778432,13612174.7,17960997.9,19309111.2,22941533.8,32436691.5,45647323.7,47627180
Albania,ALB,"PPG, multilateral concessional (INT, current US$)",DT.INT.MLTC.CD,7098604.7,8168492.4,9180394.1,9230507.7,8837370.6,10829233.3,11628885.8,11483972.4,16570957.1,18559038.9
Albania,ALB,"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD,15728866.9,17769755.5,19958826.1,22842682.4,26798368.5,30138344.5,34570419.6,43920663.9,62218280.8,66186218.9
Albania,ALB,"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD,1547808120.9,1760246296.6,1877450525.2,2131835183.5,2173540556.3,2311322133.5,2539114849.5,2692440004.4,2732353067.3,2534682634.2
Albania,ALB,"PPG, official creditors (NTR, current US$)",DT.NTR.OFFT.CD,89740275.3,80956856.9,125748404.3,141935565.8,79791535.8,138961143.2,172452914.6,90332791.2,226781133.3,-66966099.5
Albania,ALB,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,908731.4,3178903.4,2540462.4,932806.5,1561843,528861,145027.5,66432,56568.5
Albania,ALB,"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,-3271000,-2680000,2926000,2301000,705000,1325000,200000,-201000,-161000,-230000
Albania,ALB,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,3799628,4165801.2,872726.7,1264660.1,87438332.9,91122225.1,84334844.1,2093499,34383855,362874453.7
Albania,ALB,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,146963.2,230461.9,9333613.5,35980135.2,34751353.5,69696553.9,63532130.6,35840596,35123906.9,28534904.7
Albania,ALB,"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD,3946591.2,4396263.1,10206340.2,37244795.3,122189686.4,160818779,147866974.7,37934095,69507761.9,391409358.4
Albania,ALB,"Principal arrears, long-term DOD (US$)",DT.AXA.DPPG.CD,15774000,16786940.3,790158.5,0,0,0,0,0,0,0
Albania,ALB,Principal forgiven (current US$),DT.AXF.DPPG.CD,1877194.4,0,190464.7,305411.5,0,0,0,1232000,0,0
Albania,ALB,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,53041000,31751000,36389000,42000000,75858000,111600000,160417000,221670000,343609000,466570000
Albania,ALB,"Principal rescheduled, official (current US$)",DT.AXR.OFFT.CD,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Short-term debt (% of total external debt),DT.DOD.DSTC.ZS,15.6762,17.6228,27.1266,14.8344,13.8335,17.247,20.4829,22.7079,22.3244,21.8431
Albania,ALB,Total change in external debt stocks (current US$),DT.DOD.DECT.CD.CG,364197504.3,432396262.9,1340336418.6,349451764.7,784688982.2,958080049,845871861,1645380662.8,-421834955.7,-192112586.4
Albania,ALB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1768802760.45873,2104224681.37198,2319777410.04867,2313907781.05249,2469547227.27796,2393924309.13643,2515654277.59259,2712322558.8615,2604184679.29336,3084874943.50069
Albania,ALB,"Undisbursed external debt, private creditors (UND, current US$)",DT.UND.PRVT.CD,135974982,169989275.4,150643174.8,129957966.6,124018066.8,88844349.6,69001981.2,85832425.8,91641482.1,56433853.2
Algeria,DZA,Average grace period on new external debt commitments (years),DT.GPA.DPPG,3.6402,5.9062,4.7829,9.2574,0,10.1685,0,0,0,0
Algeria,DZA,Average grant element on new external debt commitments (%),DT.GRE.DPPG,46.1842,49.3547,22.284,65.0371,0,68.0834,0,0,0,0
Algeria,DZA,Average interest on new external debt commitments (%),DT.INR.DPPG,1.7825,1.7126,3.8165,2.0077,0,1.9848,0,0,0,0
Algeria,DZA,Average maturity on new external debt commitments (years),DT.MAT.DPPG,16.4774,14.1712,4.8061,31.6814,0,35.2668,0,0,0,0
Algeria,DZA,"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD,0,0,0,0,0,0,0,0,0,0
